"Statistic Label","Month","Detailed Sub Indices","UNIT","VALUE"
"Percentage Change over 12 months for Consumer Price Index","2009 May","Passenger transport by air","%","-9.4"
"Percentage Change over 12 months for Consumer Price Index","2009 June","Passenger transport by air","%","-13.9"
"Percentage Change over 12 months for Consumer Price Index","2009 July","Passenger transport by air","%","-12.5"
"Percentage Change over 12 months for Consumer Price Index","2009 August","Passenger transport by air","%","-0.6"
"Percentage Change over 12 months for Consumer Price Index","2009 September","Passenger transport by air","%","-21.7"
"Percentage Change over 12 months for Consumer Price Index","2009 October","Passenger transport by air","%","-18.7"
"Percentage Change over 12 months for Consumer Price Index","2009 November","Passenger transport by air","%","-6.2"
"Percentage Change over 12 months for Consumer Price Index","2009 December","Passenger transport by air","%","12.8"
"Percentage Change over 12 months for Consumer Price Index","2010 January","Passenger transport by air","%","-6.2"
"Percentage Change over 12 months for Consumer Price Index","2010 February","Passenger transport by air","%","-1.9"
"Percentage Change over 12 months for Consumer Price Index","2010 March","Passenger transport by air","%","-0.3"
"Percentage Change over 12 months for Consumer Price Index","2010 April","Passenger transport by air","%","2.8"
"Percentage Change over 12 months for Consumer Price Index","2010 May","Passenger transport by air","%","20.8"
"Percentage Change over 12 months for Consumer Price Index","2010 June","Passenger transport by air","%","15.4"
"Percentage Change over 12 months for Consumer Price Index","2010 July","Passenger transport by air","%","8.3"
"Percentage Change over 12 months for Consumer Price Index","2010 August","Passenger transport by air","%","18.3"
"Percentage Change over 12 months for Consumer Price Index","2010 September","Passenger transport by air","%","16.1"
"Percentage Change over 12 months for Consumer Price Index","2010 October","Passenger transport by air","%","20.4"
"Percentage Change over 12 months for Consumer Price Index","2010 November","Passenger transport by air","%","11.4"
"Percentage Change over 12 months for Consumer Price Index","2010 December","Passenger transport by air","%","6.7"
"Percentage Change over 12 months for Consumer Price Index","2011 January","Passenger transport by air","%","14.1"
"Percentage Change over 12 months for Consumer Price Index","2011 February","Passenger transport by air","%","8.9"
"Percentage Change over 12 months for Consumer Price Index","2011 March","Passenger transport by air","%","-5.6"
"Percentage Change over 12 months for Consumer Price Index","2011 April","Passenger transport by air","%","27.3"
"Percentage Change over 12 months for Consumer Price Index","2011 May","Passenger transport by air","%","1.7"
"Percentage Change over 12 months for Consumer Price Index","2011 June","Passenger transport by air","%","18.5"
"Percentage Change over 12 months for Consumer Price Index","2011 July","Passenger transport by air","%","25"
"Percentage Change over 12 months for Consumer Price Index","2011 August","Passenger transport by air","%","2.4"
"Percentage Change over 12 months for Consumer Price Index","2011 September","Passenger transport by air","%","19.9"
"Percentage Change over 12 months for Consumer Price Index","2011 October","Passenger transport by air","%","5.6"
"Percentage Change over 12 months for Consumer Price Index","2011 November","Passenger transport by air","%","1.4"
"Percentage Change over 12 months for Consumer Price Index","2011 December","Passenger transport by air","%","-5.7"
"Percentage Change over 12 months for Consumer Price Index","2012 January","Passenger transport by air","%","4.5"
"Percentage Change over 12 months for Consumer Price Index","2012 February","Passenger transport by air","%","1.5"
"Percentage Change over 12 months for Consumer Price Index","2012 March","Passenger transport by air","%","28.9"
"Percentage Change over 12 months for Consumer Price Index","2012 April","Passenger transport by air","%","-7.3"
"Percentage Change over 12 months for Consumer Price Index","2012 May","Passenger transport by air","%","0.8"
"Percentage Change over 12 months for Consumer Price Index","2012 June","Passenger transport by air","%","-0.6"
"Percentage Change over 12 months for Consumer Price Index","2012 July","Passenger transport by air","%","3"
"Percentage Change over 12 months for Consumer Price Index","2012 August","Passenger transport by air","%","8.7"
"Percentage Change over 12 months for Consumer Price Index","2012 September","Passenger transport by air","%","8.7"
"Percentage Change over 12 months for Consumer Price Index","2012 October","Passenger transport by air","%","-1.6"
"Percentage Change over 12 months for Consumer Price Index","2012 November","Passenger transport by air","%","-4.2"
"Percentage Change over 12 months for Consumer Price Index","2012 December","Passenger transport by air","%","5.7"
"Percentage Change over 12 months for Consumer Price Index","2013 January","Passenger transport by air","%","4.2"
"Percentage Change over 12 months for Consumer Price Index","2013 February","Passenger transport by air","%","-2.8"
"Percentage Change over 12 months for Consumer Price Index","2013 March","Passenger transport by air","%","-5.5"
"Percentage Change over 12 months for Consumer Price Index","2013 April","Passenger transport by air","%","-8.8"
"Percentage Change over 12 months for Consumer Price Index","2013 May","Passenger transport by air","%","6.6"
"Percentage Change over 12 months for Consumer Price Index","2013 June","Passenger transport by air","%","5.4"
"Percentage Change over 12 months for Consumer Price Index","2013 July","Passenger transport by air","%","2.2"
"Percentage Change over 12 months for Consumer Price Index","2013 August","Passenger transport by air","%","-4.2"
"Percentage Change over 12 months for Consumer Price Index","2013 September","Passenger transport by air","%","1.8"
"Percentage Change over 12 months for Consumer Price Index","2013 October","Passenger transport by air","%","-1.1"
"Percentage Change over 12 months for Consumer Price Index","2013 November","Passenger transport by air","%","-10.2"
"Percentage Change over 12 months for Consumer Price Index","2013 December","Passenger transport by air","%","-5.3"
"Percentage Change over 12 months for Consumer Price Index","2014 January","Passenger transport by air","%","-4.7"
"Percentage Change over 12 months for Consumer Price Index","2014 February","Passenger transport by air","%","8.3"
"Percentage Change over 12 months for Consumer Price Index","2014 March","Passenger transport by air","%","1.8"
"Percentage Change over 12 months for Consumer Price Index","2014 April","Passenger transport by air","%","32.5"
"Percentage Change over 12 months for Consumer Price Index","2014 May","Passenger transport by air","%","-13"
"Percentage Change over 12 months for Consumer Price Index","2014 June","Passenger transport by air","%","-1.7"
"Percentage Change over 12 months for Consumer Price Index","2014 July","Passenger transport by air","%","3.2"
"Percentage Change over 12 months for Consumer Price Index","2014 August","Passenger transport by air","%","3.8"
"Percentage Change over 12 months for Consumer Price Index","2014 September","Passenger transport by air","%","-1.4"
"Percentage Change over 12 months for Consumer Price Index","2014 October","Passenger transport by air","%","-3.5"
"Percentage Change over 12 months for Consumer Price Index","2014 November","Passenger transport by air","%","5.2"
"Percentage Change over 12 months for Consumer Price Index","2014 December","Passenger transport by air","%","-3.9"
"Percentage Change over 12 months for Consumer Price Index","2015 January","Passenger transport by air","%","-2.2"
"Percentage Change over 12 months for Consumer Price Index","2015 February","Passenger transport by air","%","-11.2"
"Percentage Change over 12 months for Consumer Price Index","2015 March","Passenger transport by air","%","-3.9"
"Percentage Change over 12 months for Consumer Price Index","2015 April","Passenger transport by air","%","-27.7"
"Percentage Change over 12 months for Consumer Price Index","2015 May","Passenger transport by air","%","2.4"
"Percentage Change over 12 months for Consumer Price Index","2015 June","Passenger transport by air","%","5.3"
"Percentage Change over 12 months for Consumer Price Index","2015 July","Passenger transport by air","%","-4.6"
"Percentage Change over 12 months for Consumer Price Index","2015 August","Passenger transport by air","%","7.1"
"Percentage Change over 12 months for Consumer Price Index","2015 September","Passenger transport by air","%","-0.9"
"Percentage Change over 12 months for Consumer Price Index","2015 October","Passenger transport by air","%","6.9"
"Percentage Change over 12 months for Consumer Price Index","2015 November","Passenger transport by air","%","-7.4"
"Percentage Change over 12 months for Consumer Price Index","2015 December","Passenger transport by air","%","-8.6"
"Percentage Change over 12 months for Consumer Price Index","2016 January","Passenger transport by air","%","-6.9"
"Percentage Change over 12 months for Consumer Price Index","2016 February","Passenger transport by air","%","-4.8"
"Percentage Change over 12 months for Consumer Price Index","2016 March","Passenger transport by air","%","-20.3"
"Percentage Change over 12 months for Consumer Price Index","2016 April","Passenger transport by air","%","-8.4"
"Percentage Change over 12 months for Consumer Price Index","2016 May","Passenger transport by air","%","-6.2"
"Percentage Change over 12 months for Consumer Price Index","2016 June","Passenger transport by air","%","-8"
"Percentage Change over 12 months for Consumer Price Index","2016 July","Passenger transport by air","%","1.6"
"Percentage Change over 12 months for Consumer Price Index","2016 August","Passenger transport by air","%","-13.8"
"Percentage Change over 12 months for Consumer Price Index","2016 September","Passenger transport by air","%","-14.6"
"Percentage Change over 12 months for Consumer Price Index","2016 October","Passenger transport by air","%","-10.8"
"Percentage Change over 12 months for Consumer Price Index","2016 November","Passenger transport by air","%","12.1"
"Percentage Change over 12 months for Consumer Price Index","2016 December","Passenger transport by air","%","16.2"
"Percentage Change over 12 months for Consumer Price Index","2017 January","Passenger transport by air","%","19.7"
"Percentage Change over 12 months for Consumer Price Index","2017 February","Passenger transport by air","%","10.5"
"Percentage Change over 12 months for Consumer Price Index","2017 March","Passenger transport by air","%","28"
"Percentage Change over 12 months for Consumer Price Index","2017 April","Passenger transport by air","%","62.8"
"Percentage Change over 12 months for Consumer Price Index","2017 May","Passenger transport by air","%","11.5"
"Percentage Change over 12 months for Consumer Price Index","2017 June","Passenger transport by air","%","-7.6"
"Percentage Change over 12 months for Consumer Price Index","2017 July","Passenger transport by air","%","1"
"Percentage Change over 12 months for Consumer Price Index","2017 August","Passenger transport by air","%","5"
"Percentage Change over 12 months for Consumer Price Index","2017 September","Passenger transport by air","%","1.8"
"Percentage Change over 12 months for Consumer Price Index","2017 October","Passenger transport by air","%","4.2"
"Percentage Change over 12 months for Consumer Price Index","2017 November","Passenger transport by air","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2017 December","Passenger transport by air","%","5.3"
"Percentage Change over 12 months for Consumer Price Index","2018 January","Passenger transport by air","%","1.7"
"Percentage Change over 12 months for Consumer Price Index","2018 February","Passenger transport by air","%","11"
"Percentage Change over 12 months for Consumer Price Index","2018 March","Passenger transport by air","%","3"
"Percentage Change over 12 months for Consumer Price Index","2018 April","Passenger transport by air","%","-28.9"
"Percentage Change over 12 months for Consumer Price Index","2018 May","Passenger transport by air","%","1.9"
"Percentage Change over 12 months for Consumer Price Index","2018 June","Passenger transport by air","%","-11.4"
"Percentage Change over 12 months for Consumer Price Index","2018 July","Passenger transport by air","%","-9.4"
"Percentage Change over 12 months for Consumer Price Index","2018 August","Passenger transport by air","%","-13.3"
"Percentage Change over 12 months for Consumer Price Index","2018 September","Passenger transport by air","%","-7"
"Percentage Change over 12 months for Consumer Price Index","2018 October","Passenger transport by air","%","-5.5"
"Percentage Change over 12 months for Consumer Price Index","2018 November","Passenger transport by air","%","-19.5"
"Percentage Change over 12 months for Consumer Price Index","2018 December","Passenger transport by air","%","-11.4"
"Percentage Change over 12 months for Consumer Price Index","2019 January","Passenger transport by air","%","-16.6"
"Percentage Change over 12 months for Consumer Price Index","2019 February","Passenger transport by air","%","-15.1"
"Percentage Change over 12 months for Consumer Price Index","2019 March","Passenger transport by air","%","-5.4"
"Percentage Change over 12 months for Consumer Price Index","2019 April","Passenger transport by air","%","19.8"
"Percentage Change over 12 months for Consumer Price Index","2019 May","Passenger transport by air","%","-16.2"
"Percentage Change over 12 months for Consumer Price Index","2019 June","Passenger transport by air","%","5.5"
"Percentage Change over 12 months for Consumer Price Index","2019 July","Passenger transport by air","%","-4.5"
"Percentage Change over 12 months for Consumer Price Index","2019 August","Passenger transport by air","%","-4.2"
"Percentage Change over 12 months for Consumer Price Index","2019 September","Passenger transport by air","%","-3"
"Percentage Change over 12 months for Consumer Price Index","2019 October","Passenger transport by air","%","-6.3"
"Percentage Change over 12 months for Consumer Price Index","2019 November","Passenger transport by air","%","6.9"
"Percentage Change over 12 months for Consumer Price Index","2019 December","Passenger transport by air","%","13.7"
"Percentage Change over 12 months for Consumer Price Index","2020 January","Passenger transport by air","%","3"
"Percentage Change over 12 months for Consumer Price Index","2020 February","Passenger transport by air","%","3.2"
"Percentage Change over 12 months for Consumer Price Index","2020 March","Passenger transport by air","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2020 April","Passenger transport by air","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2020 May","Passenger transport by air","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2020 June","Passenger transport by air","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2020 July","Passenger transport by air","%","-38.9"
"Percentage Change over 12 months for Consumer Price Index","2020 August","Passenger transport by air","%","-40.3"
"Percentage Change over 12 months for Consumer Price Index","2020 September","Passenger transport by air","%","-30.4"
"Percentage Change over 12 months for Consumer Price Index","2020 October","Passenger transport by air","%","-34"
"Percentage Change over 12 months for Consumer Price Index","2020 November","Passenger transport by air","%","-27.6"
"Percentage Change over 12 months for Consumer Price Index","2020 December","Passenger transport by air","%","-20.9"
"Percentage Change over 12 months for Consumer Price Index","2021 January","Passenger transport by air","%","-26.4"
"Percentage Change over 12 months for Consumer Price Index","2021 February","Passenger transport by air","%","-37.4"
"Percentage Change over 12 months for Consumer Price Index","2021 March","Passenger transport by air","%","-49.4"
"Percentage Change over 12 months for Consumer Price Index","2021 April","Passenger transport by air","%","-42.8"
"Percentage Change over 12 months for Consumer Price Index","2021 May","Passenger transport by air","%","-29.9"
"Percentage Change over 12 months for Consumer Price Index","2021 June","Passenger transport by air","%","-29.2"
"Percentage Change over 12 months for Consumer Price Index","2021 July","Passenger transport by air","%","15.7"
"Percentage Change over 12 months for Consumer Price Index","2021 August","Passenger transport by air","%","50.3"
"Percentage Change over 12 months for Consumer Price Index","2021 September","Passenger transport by air","%","36.5"
"Percentage Change over 12 months for Consumer Price Index","2021 October","Passenger transport by air","%","72.4"
"Percentage Change over 12 months for Consumer Price Index","2021 November","Passenger transport by air","%","64.8"
"Percentage Change over 12 months for Consumer Price Index","2021 December","Passenger transport by air","%","66.3"
"Percentage Change over 12 months for Consumer Price Index","2022 January","Passenger transport by air","%","26.7"
"Percentage Change over 12 months for Consumer Price Index","2022 February","Passenger transport by air","%","42.3"
"Percentage Change over 12 months for Consumer Price Index","2022 March","Passenger transport by air","%","69.2"
"Percentage Change over 12 months for Consumer Price Index","2022 April","Passenger transport by air","%","92.7"
"Percentage Change over 12 months for Consumer Price Index","2022 May","Passenger transport by air","%","45.4"
"Percentage Change over 12 months for Consumer Price Index","2022 June","Passenger transport by air","%","38.4"
"Percentage Change over 12 months for Consumer Price Index","2022 July","Passenger transport by air","%","47.8"
"Percentage Change over 12 months for Consumer Price Index","2022 August","Passenger transport by air","%","34.2"
"Percentage Change over 12 months for Consumer Price Index","2022 September","Passenger transport by air","%","18.8"
"Percentage Change over 12 months for Consumer Price Index","2022 October","Passenger transport by air","%","13.7"
"Percentage Change over 12 months for Consumer Price Index","2022 November","Passenger transport by air","%","4.5"
"Percentage Change over 12 months for Consumer Price Index","2022 December","Passenger transport by air","%","-13.7"
"Percentage Change over 12 months for Consumer Price Index","2023 January","Passenger transport by air","%","21.4"
"Percentage Change over 12 months for Consumer Price Index","2023 February","Passenger transport by air","%","30.3"
"Percentage Change over 12 months for Consumer Price Index","2023 March","Passenger transport by air","%","35.6"
"Percentage Change over 12 months for Consumer Price Index","2023 April","Passenger transport by air","%","-3.2"
"Percentage Change over 12 months for Consumer Price Index","2023 May","Passenger transport by air","%","33.5"
"Percentage Change over 12 months for Consumer Price Index","2023 June","Passenger transport by air","%","34.2"
"Percentage Change over 12 months for Consumer Price Index","2023 July","Passenger transport by air","%","14.3"
"Percentage Change over 12 months for Consumer Price Index","2023 August","Passenger transport by air","%","0"
"Percentage Change over 12 months for Consumer Price Index","2023 September","Passenger transport by air","%","-0.8"
"Percentage Change over 12 months for Consumer Price Index","2023 October","Passenger transport by air","%","4.5"
"Percentage Change over 12 months for Consumer Price Index","2023 November","Passenger transport by air","%","4.2"
